time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1478788200,217.3,218.31,215.22,216.92,61.478603098140276,44.64465136279056,NaN,NaN
1478874600,216.08,216.7,215.32,216.42,59.43697767465752,45.25976081686649,NaN,NaN
1479133800,217.03,217.27,215.72,216.59,59.924278364198884,46.117771822929384,NaN,NaN
1479220200,217.04,218.28,216.8,218.28,64.49121511487255,47.42367351815842,NaN,NaN
1479306600,217.56,218.14,217.42,217.87,62.62662036619238,48.75582667537763,NaN,NaN
1479393000,218.05,219.06,217.92,218.99,65.55625282686457,50.468027372728834,NaN,NaN
1479479400,219.07,219.27,218.29,218.5,63.22130612711845,52.009571812562946,NaN,NaN
1479738600,219.17,220.18,219,220.15,67.42833383493053,54.24852279519306,NaN,NaN
1479825000,220.51,220.79,219.73,220.58,68.44146369904779,56.83293114508829,NaN,NaN
1479911400,219.98,220.76,219.75,220.7,68.73374329974042,59.62118908196607,NaN,NaN
1480084200,221.1,221.56,221.01,221.52,70.72873216633718,62.594534241900284,NaN,NaN
1480343400,221.16,221.48,220.36,220.48,65.05883671279128,63.63412925384839,NaN,NaN
1480429800,220.52,221.44,220.17,220.91,66.26305369472135,64.53511440825145,NaN,NaN
1480516200,221.63,221.82,220.31,220.38,63.36434588255579,64.76812591872634,NaN,NaN
1480602600,220.73,220.73,219.15,219.57,59.10858342840874,64.5988387994598,NaN,NaN
1480689000,219.67,220.25,219.26,219.68,59.506334958105526,64.60379289113466,NaN,NaN
1480948200,220.65,221.4,220.42,221,64.02810941262271,64.8969236803078,NaN,NaN
1481034600,221.22,221.7441,220.662,221.7,66.18458863020513,65.01787893140298,NaN,NaN
1481121000,221.52,224.67,221.38,224.6,73.32043380088388,65.78172274816666,NaN,NaN
1481207400,224.57,225.7,224.26,225.15,74.42281759221027,66.4150488028342,NaN,NaN
1481293800,225.41,226.53,225.37,226.51,76.95813629866352,67.39625095794456,NaN,NaN
1481553000,226.4,226.96,225.76,226.25,75.41899071936828,67.96701216397584,NaN,NaN
1481639400,227.02,228.34,227,227.76,78.1519106249886,68.66061551582875,NaN,NaN
1481725800,227.41,228.23,225.365,225.88,68.01313377882374,68.60914340719184,NaN,NaN
1481812200,226.16,227.81,225.8904,226.81,70.08091262977659,68.5628705831518,NaN,NaN
1481898600,226.01,226.08,224.67,225.04,61.881741956170394,68.33593524339317,NaN,NaN
1482157800,225.25,226.02,225.08,225.53,63.16649805034521,68.1147526973663,NaN,NaN
1482244200,226.15,226.57,225.88,226.4,65.39654959988654,68.25991010574707,NaN,NaN
1482330600,226.25,226.45,225.77,225.77,62.44807800984521,68.49844543299253,NaN,NaN
1482417000,225.6,225.74,224.92,225.38,60.62582565692139,68.57840905433652,NaN,NaN
1482503400,225.43,225.72,225.21,225.71,61.645679078390714,68.40823545903423,NaN,NaN
1482849000,226.02,226.73,226,226.27,63.37913828970919,68.20784614899881,NaN,NaN
1482935400,226.57,226.59,224.27,224.4,54.51821072894423,66.86483021528885,NaN,NaN
1483021800,224.48,224.89,223.84,224.35,54.29961449101633,65.42745856520357,NaN,NaN
1483108200,224.73,224.83,222.73,223.53,50.708645685081336,63.55249494994769,NaN,NaN
1483453800,225.04,225.83,223.8837,225.24,57.08268031669907,62.24275849261418,NaN,NaN
1483540200,225.62,226.75,225.61,226.58,61.30535746678764,61.03943326702839,NaN,NaN
1483626600,226.27,226.58,225.48,226.4,60.445021237553725,60.498853799794816,NaN,NaN
1483713000,226.53,227.75,225.9,227.21,62.963818341557584,59.99048992206489,NaN,NaN
1483972200,226.91,227.0701,226.4163,226.46,59.204511626071124,59.79925918420064,NaN,NaN
1484058600,226.48,227.45,226.01,226.46,59.204511626071124,59.51626015389536,NaN,NaN
1484145000,226.36,227.1,225.59,227.1,61.48057611790514,59.23654776232525,NaN,NaN
1484231400,226.5,226.75,224.955,226.53,58.35773137841791,58.94438014579473,NaN,NaN
1484317800,226.73,227.4,226.69,227.05,60.33702802379039,58.923751743428234,NaN,NaN
1484663400,226.31,226.78,225.8,226.25,55.9323807149433,58.51565900318199,NaN,NaN
1484749800,226.535,226.8,225.9,226.75,57.99624004513502,58.13116627142669,NaN,NaN
1484836200,226.84,227,225.41,225.91,53.465894710978084,58.056000841571965,NaN,NaN
1484922600,226.7,227.31,225.9719,226.74,57.03705241125097,58.25153212158872,NaN,NaN
1485181800,226.35,226.805,225.27,226.15,53.872148290583574,58.47749659341031,NaN,NaN
1485268200,226.4,228.08,226.27,227.6,59.77901131410274,58.670091664653434,NaN,NaN
1485354600,228.7,229.57,228.51,229.57,66.12569645202643,59.014401592170486,NaN,NaN
1485441000,229.4,229.71,229.01,229.33,64.78449205579031,59.3243637934731,NaN,NaN
1485527400,229.42,229.59,228.76,228.97,62.72921440275759,59.3076063692731,NaN,NaN
1485786600,228.17,228.2,226.41,227.55,55.27958386996177,59.02725438669386,NaN,NaN
1485873000,226.98,227.6,226.32,227.53,55.180186616260514,58.73980260027882,NaN,NaN
1485959400,228.255,228.59,226.94,227.62,55.56736304127696,58.31743023766252,NaN,NaN
1486045800,227.2,228.1,226.82,227.77,56.245773147085295,58.166576078281615,NaN,NaN
1486132200,228.82,229.55,228.46,229.34,62.67025769749461,58.333235340689065,NaN,NaN
1486391400,228.87,229.326,228.54,228.93,60.18497801839868,58.63699229093588,NaN,NaN
1486477800,229.38,229.6556,228.72,228.94,60.22640749387648,58.79628996584598,NaN,NaN
1486564200,228.61,229.39,228.31,229.24,61.52001724877081,59.37158443283118,NaN,NaN
1486650600,229.56,230.95,229.52,230.6,66.79283330611241,60.06842592532128,NaN,NaN
1486737000,231,231.77,230.6216,231.51,69.77705886164652,61.20449096611149,NaN,NaN
1486996200,232.08,233.07,232.05,232.77,73.34844067556419,62.17373592050159,NaN,NaN
